id,word_id,ice,eng,answ_1,answ_2
2363820000.0,1,framkvæmd,implementation ,,
2363820000.0,2,neysla,consumption,,
2363820000.0,3,forystumaður,leader,,
2363820000.0,4,skynjun,perception,,
2363820000.0,5,viðhorf,attitude,,
2363820000.0,6,ávinningur,benefit,,
2363820000.0,7,auðmýkt,humility,,
2363820000.0,8,yfirvöld,authorities,,
2363820000.0,9,geðshræring,emotion,,
2363820000.0,10,ábyrgð,responsibility,,
2363820000.0,11,siðferði,ethics,,
2363820000.0,12,hugleiðing,meditation,,
2363820000.0,13,forsendur,assumptions,,
2363820000.0,14,viðnám,resistance,,
2363820000.0,15,yfirborð,surface,,
2363820000.0,16,vitund,awareness,,
2363820000.0,17,takmörk,limits,,
2363820000.0,18,hugrekki,courage,,
2363820000.0,19,tilfinning,feeling,,
2363820000.0,20,örvænting,despair,,
2363820000.0,21,framfarir,progress,,
2363820000.0,22,endurreisn,reconstruction,,
2363820000.0,23,áhrif,influence,,
2363820000.0,24,einföldun,simplification,,
2363820000.0,25,umbreyting,transformation,,
2363820000.0,26,rökfræði,logic,,
2363820000.0,27,þátttaka,participation,,
2363820000.0,28,áskorun,challenge,,
2363820000.0,29,lausn,solution,,
2363820000.0,30,sambúð,coexistence,,
2363820000.0,31,miðlun,mediation,,
2363820000.0,32,hlutverk,function,,
2363820000.0,33,viðbrögð,reactions,,
2363820000.0,34,siðspilling,corruption,,
2363820000.0,35,arfleifð,heritage,,
2363820000.0,36,markmið,objective,,
2363820000.0,37,áhrifaríkur,influential,,
2363820000.0,38,hvatning,motivation,,
2363820000.0,39,samkennd,empathy,,
2363820000.0,40,úlfaldi,camel,,
2363820000.0,41,tungl,moon,,
2363820000.0,42,logi,flame,,
2363820000.0,43,bros,smile,,
2363820000.0,44,hákarl,shark,,
2363820000.0,45,vindlingur,cigar,,
2363820000.0,46,sími,phone,,
2363820000.0,47,sauðfé,sheep,,
2363820000.0,48,skammbyssa,pistol,,
2363820000.0,49,ljósmynd,photo,,
2363820000.0,50,veski,purse,,
